 ,2,3,4,5,6,7,8,9,10,11
4,hit,hit,hit,hit,stand,hit,hit,hit,hit,hit,
5,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit,
6,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit,
7,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit,
8,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit,
9,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit,
10,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit,
11,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit,
   HARD   
12,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit,
13,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit,
14,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit,
15,stand,stand,stand,stand,stand,hit,hit,hit,stand,hit,
16,stand,stand,stand,stand,stand,stand,stand,stand,stand,hit,
17,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
18,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
19,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
20,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
21,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
   SOFT   
12,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit,
13,hit,hit,hit,stand,hit,hit,hit,hit,hit,hit,
14,hit,hit,stand,hit,stand,hit,hit,hit,hit,hit,
15,hit,stand,stand,stand,stand,hit,hit,hit,hit,hit,
16,hit,hit,stand,stand,stand,hit,hit,hit,hit,hit,
17,stand,stand,stand,stand,stand,stand,hit,hit,hit,hit,
18,stand,stand,stand,stand,stand,stand,stand,stand,stand,hit,
19,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
20,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
21,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
